Component;ID;Quantity;Description;regola;Price
Controller;10000000;1;KIT1 German MR above;DRIVE_TYPE = Traction and COUNTRY = (ES, FR) and KILOWATT = 6.5 and DOOR_DRIVE = MONOPHASE;1000
Controller;10000001;1;KIT2 German MR below;DRIVE_TYPE = Traction and COUNTRY = (ES, MIL) and KILOWATT = 6.5 and DOOR_DRIVE = MONOPHASE;1050
Controller;10000012;1;KIT1A German MR above;DRIVE_TYPE = Traction and COUNTRY = (ES, FR) and KILOWATT = 9.5 and DOOR_DRIVE = MONOPHASE;1025
Controller;10000014;1;KIT2B German MR below;DRIVE_TYPE = Traction and COUNTRY = (ES, FR) and KILOWATT = 9.5 and DOOR_DRIVE = TRIPHASE;1000
Cop;30000000;1;KIT1 German MR above;DRIVE_TYPE = Traction and COUNTRY = (ES, FR) and KILOWATT = 6.5 and DOOR_DRIVE = MONOPHASE;1050
Cop;30000001;1;KIT2 German MR below;DRIVE_TYPE = Traction and COUNTRY = (ES, MIL) and KILOWATT = 6.5 and DOOR_DRIVE = MONOPHASE;1025
Cop;10000012;1;KIT1A German MR above;DRIVE_TYPE = Traction and COUNTRY = (ES, FR) and KILOWATT = 9.5 and DOOR_DRIVE = MONOPHASE;1000
Cop;10000014;1;KIT2B German MR below;DRIVE_TYPE = Traction and COUNTRY = (ES, FR) and KILOWATT = 9.5 and DOOR_DRIVE = TRIPHASE;1000
Lop;40000000;1;KIT1 German MR above;DRIVE_TYPE = Traction and COUNTRY = (ES, MIL) and KILOWATT = 6.5 and DOOR_DRIVE = MONOPHASE;1025
Lop;40000001;1;KIT2 German MR below;DRIVE_TYPE = Traction and COUNTRY = (ES, FR) and KILOWATT = 9.5 and DOOR_DRIVE = MONOPHASE;1000
Lop;10000012;1;KIT1A German MR above;DRIVE_TYPE = Traction and COUNTRY = (ES, FR) and KILOWATT = 9.5 and DOOR_DRIVE = TRIPHASE;1050
